date,daily_rain
2018-09-30,0
2018-10-01,0
2018-10-02,0
2018-10-03,0
2018-10-04,0
2018-10-05,0.09
2018-10-06,0
2018-10-07,2.64
2018-10-08,0.05
2018-10-09,0.24
2018-10-10,0
2018-10-11,0
2018-10-12,7.1
2018-10-13,0.02
2018-10-14,0
2018-10-15,0
2018-10-16,0
2018-10-17,0
2018-10-18,0
2018-10-19,0.01
2018-10-20,3.23
2018-10-21,4.75
2018-10-22,0.02
2018-10-23,7.71
2018-10-24,3.9
2018-10-25,0
2018-10-26,0
2018-10-27,0
2018-10-28,0
2018-10-29,0
2018-10-30,0
2018-10-31,0
2018-11-01,0.97
2018-11-02,0.11
2018-11-03,0.01
2018-11-04,0
2018-11-05,0.12
2018-11-06,8.23
2018-11-07,0
2018-11-08,0
2018-11-09,0
2018-11-10,0.27
2018-11-11,0.01
2018-11-12,0.01
2018-11-13,1.78
2018-11-14,25.87
2018-11-15,0.56
2018-11-16,0.27
2018-11-17,1.05
2018-11-18,0.03
2018-11-19,0.02
2018-11-20,0
2018-11-21,0.14
2018-11-22,0
2018-11-23,0
2018-11-24,0.02
2018-11-25,0.01
2018-11-26,0.14
2018-11-27,3.23
2018-11-28,0.09
2018-11-29,0.4
2018-11-30,0.15
2018-12-01,7.68
2018-12-02,6.23
2018-12-03,0.03
2018-12-04,0
2018-12-05,0
2018-12-06,0.06
2018-12-07,1.85
2018-12-08,0.29
2018-12-09,0.03
2018-12-10,5.27
2018-12-11,13.8
2018-12-12,0.83
2018-12-13,0.12
2018-12-14,0.01
2018-12-15,0
2018-12-16,0.05
2018-12-17,0.21
2018-12-18,0.07
2018-12-19,0.01
2018-12-20,1.61
2018-12-21,2.07
2018-12-22,0.08
2018-12-23,0.21
2018-12-24,0
2018-12-25,0
2018-12-26,0.04
2018-12-27,0.06
2018-12-28,6.68
2018-12-29,1.07
2018-12-30,0.17
2018-12-31,0.21
2019-01-01,4.33
2019-01-02,0.2
2019-01-03,0.47
2019-01-04,2.26
2019-01-05,2.15
2019-01-06,1.98
2019-01-07,4.61
2019-01-08,0.8
2019-01-09,0.02
2019-01-10,0
2019-01-11,0
2019-01-12,0
2019-01-13,0
2019-01-14,0
2019-01-15,7.36
2019-01-16,2.65
2019-01-17,0.04
2019-01-18,3.58
2019-01-19,0.26
2019-01-20,5.61
2019-01-21,6.13
2019-01-22,2.19
2019-01-23,2.51
2019-01-24,0.01
2019-01-25,0.05
2019-01-26,0
2019-01-27,0
2019-01-28,0
2019-01-29,0.02
2019-01-30,0
2019-01-31,0
2019-02-01,0
2019-02-02,0.07
2019-02-03,0.03
2019-02-04,0
2019-02-05,0
2019-02-06,0
2019-02-07,0
2019-02-08,0.04
2019-02-09,0.35
2019-02-10,1.58
2019-02-11,0.01
2019-02-12,0.04
2019-02-13,0.02
2019-02-14,0.01
2019-02-15,0.01
2019-02-16,6.2
2019-02-17,0.02
2019-02-18,0.01
2019-02-19,0
2019-02-20,0.04
2019-02-21,3.11
2019-02-22,0.53
2019-02-23,0.06
2019-02-24,1.32
2019-02-25,0.06
2019-02-26,4.92
2019-02-27,0.01
2019-02-28,0
2019-03-01,6.19
2019-03-02,0
2019-03-03,1.47
2019-03-04,0.25
2019-03-05,0
2019-03-06,4.57
2019-03-07,0.46
2019-03-08,2.29
2019-03-09,3.41
2019-03-10,0.13
2019-03-11,1.97
2019-03-12,3.36
2019-03-13,2.92
2019-03-14,0.01
2019-03-15,0
2019-03-16,0
2019-03-17,0.01
2019-03-18,0.01
2019-03-19,0
2019-03-20,0
2019-03-21,0.07
2019-03-22,0
2019-03-23,0
2019-03-24,0.01
2019-03-25,0
2019-03-26,0
2019-03-27,0
2019-03-28,0
2019-03-29,0
2019-03-30,0
2019-03-31,1.29
2019-04-01,0.02
2019-04-02,1.07
2019-04-03,0.89
2019-04-04,0.06
2019-04-05,3.86
2019-04-06,0.14
2019-04-07,3.08
2019-04-08,1.79
2019-04-09,6.67
2019-04-10,0.05
2019-04-11,0.06
2019-04-12,6.69
2019-04-13,0.61
2019-04-14,1.13
2019-04-15,5.14
2019-04-16,2.52
2019-04-17,0.41
2019-04-18,0.77
2019-04-19,0.01
2019-04-20,0
2019-04-21,0
2019-04-22,0
2019-04-23,0
2019-04-24,0
2019-04-25,0
2019-04-26,0
2019-04-27,0
2019-04-28,0
2019-04-29,0
2019-04-30,0
2019-05-01,0
2019-05-02,0
2019-05-03,2.7
2019-05-04,0.05
2019-05-05,0.03
2019-05-06,0
2019-05-07,0
2019-05-08,1.57
2019-05-09,0.03
2019-05-10,0.02
2019-05-11,0
2019-05-12,0
2019-05-13,0.02
2019-05-14,0.16
2019-05-15,0.04
2019-05-16,0
2019-05-17,0
2019-05-18,0
2019-05-19,0
2019-05-20,0.02
2019-05-21,0
2019-05-22,0
2019-05-23,0
2019-05-24,0
2019-05-25,0.31
2019-05-26,0.05
2019-05-27,0.83
2019-05-28,2.6
2019-05-29,0.19
2019-05-30,0.01
2019-05-31,0
2019-06-01,0
2019-06-02,0.91
2019-06-03,2.04
2019-06-04,2.78
2019-06-05,0.02
2019-06-06,0
2019-06-07,5.04
2019-06-08,6.16
2019-06-09,0.53
2019-06-10,5.01
2019-06-11,2.02
2019-06-12,0
2019-06-13,0
2019-06-14,0
2019-06-15,0
2019-06-16,0
2019-06-17,0.57
2019-06-18,1.11
2019-06-19,0.3
2019-06-20,0
2019-06-21,0
2019-06-22,0
2019-06-23,0
2019-06-24,0.23
2019-06-25,0
2019-06-26,0.27
2019-06-27,4.46
2019-06-28,0.77
2019-06-29,0.97
2019-06-30,0
2019-07-01,0
2019-07-02,0
2019-07-03,0
2019-07-04,0
2019-07-05,1.5
2019-07-06,0.72
2019-07-07,0
2019-07-08,4
2019-07-09,1.92
2019-07-10,7.79
2019-07-11,14.23
2019-07-12,3.79
2019-07-13,6.53
2019-07-14,3.34
2019-07-15,0.21
2019-07-16,0.44
2019-07-17,0.54
2019-07-18,0
2019-07-19,3.62
2019-07-20,6.68
2019-07-21,0.04
2019-07-22,0
2019-07-23,0
2019-07-24,0
2019-07-25,9.06
2019-07-26,0.3
2019-07-27,0
2019-07-28,0
2019-07-29,0
2019-07-30,0
2019-07-31,0
2019-08-01,0
2019-08-02,0
2019-08-03,0
2019-08-04,0.12
2019-08-05,0
2019-08-06,0.63
2019-08-07,0.01
2019-08-08,0.02
2019-08-09,0.05
2019-08-10,0.21
2019-08-11,0.08
2019-08-12,1.86
2019-08-13,1.33
2019-08-14,0
2019-08-15,0
2019-08-16,0
2019-08-17,1.46
2019-08-18,0.07
2019-08-19,5.99
2019-08-20,0.18
2019-08-21,0
2019-08-22,0
2019-08-23,1.67
2019-08-24,0
2019-08-25,0.99
2019-08-26,2.6
2019-08-27,17.27
2019-08-28,0.55
2019-08-29,0
2019-08-30,3.62
2019-08-31,0.01
2019-09-01,0.07
2019-09-02,0
2019-09-03,0
2019-09-04,0.02
2019-09-05,0.13
2019-09-06,0.34
2019-09-07,0.46
2019-09-08,2.85
2019-09-09,1.08
2019-09-10,0.8
2019-09-11,9.14
2019-09-12,0.13
2019-09-13,0.01
2019-09-14,9.23
2019-09-15,0
2019-09-16,4.73
2019-09-17,0.2
2019-09-18,0.87
2019-09-19,1.32
2019-09-20,0
2019-09-21,0
2019-09-22,0
2019-09-23,0
2019-09-24,0
2019-09-25,0
2019-09-26,0
2019-09-27,0.2
2019-09-28,1.96
2019-09-29,0
2019-09-30,0
2019-10-01,0.02
2019-10-02,0
2019-10-03,0
2019-10-04,3.43
2019-10-05,0.02
2019-10-06,0
2019-10-07,0.94
2019-10-08,0.01
2019-10-09,0.94
2019-10-10,2.35
2019-10-11,0.01
2019-10-12,0.02
2019-10-13,0.01
2019-10-14,0
2019-10-15,0
2019-10-16,0.06
2019-10-17,0.16
2019-10-18,0
2019-10-19,0
2019-10-20,0
2019-10-21,0
2019-10-22,0
2019-10-23,1
2019-10-24,6.07
2019-10-25,3.01
2019-10-26,4.13
2019-10-27,0.62
2019-10-28,1.85
2019-10-29,7.77
2019-10-30,3.78
2019-10-31,13.93
2019-11-01,5.98
2019-11-02,0
2019-11-03,2.83
2019-11-04,0.11
2019-11-05,21.17
2019-11-06,2.13
2019-11-07,0.64
2019-11-08,0.16
2019-11-09,0.09
2019-11-10,1.08
2019-11-11,6.1
2019-11-12,9.14
2019-11-13,1.6
2019-11-14,1.57
2019-11-15,0.25
2019-11-16,0.11
2019-11-17,5.19
2019-11-18,0.83
2019-11-19,0.01
2019-11-20,2.11
2019-11-21,0.65
2019-11-22,0.03
2019-11-23,0.62
2019-11-24,5.07
2019-11-25,0.24
2019-11-26,3.45
2019-11-27,0.02
2019-11-28,0
2019-11-29,0.01
2019-11-30,0
2019-12-01,2.04
2019-12-02,1.57
2019-12-03,6.92
2019-12-04,1.27
2019-12-05,0.13
2019-12-06,1.01
2019-12-07,6.27
2019-12-08,0.15
2019-12-09,2.36
2019-12-10,1.29
2019-12-11,4.68
2019-12-12,1.03
2019-12-13,1.07
2019-12-14,9.91
2019-12-15,2.6
2019-12-16,2.6
2019-12-17,0.01
2019-12-18,0.47
2019-12-19,0.01
2019-12-20,0.03
2019-12-21,0
2019-12-22,3.28
2019-12-23,1.19
2019-12-24,0.07
2019-12-25,0.21
2019-12-26,0.45
2019-12-27,8.8
2019-12-28,4.52
2019-12-29,1.66
2019-12-30,0
2019-12-31,0.83
2020-01-01,0.07
2020-01-02,0.04
2020-01-03,0.01
2020-01-04,0.03
2020-01-05,5.4
2020-01-06,3.89
2020-01-07,2.86
2020-01-08,0.32
